X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-76.978769415620945,38.902348830045902,94,JESUS WAY TEMPLE,,CHRISTIAN,1700 MARYLAND AVE NE,401841.76,137165.39,CHURCHES,1,,
-76.994498452587649,38.897528273807382,95,GALATIANS BAPTIST CHURCH,,CHRISTIAN,806 F ST NE,400477.44,136630.07,CHURCHES,1,,
-76.985172050222189,38.893426312991963,96,LANE MEMORIAL CME,,CHRISTIAN,1423 C ST NE,401286.55,136174.81,CHURCHES,1,,
-77.044690737572736,38.898128188870054,97,UNITED CHURCH,THEUNITEDCHURCH.NET,CHRISTIAN,1920 G ST NW,396123.45,136697.6,CHURCHES,1,,
-77.031215557043865,38.899983515181702,98,NEW YORK AVENUE PRESBYTERIAN,,CHRISTIAN,1313 NEW YORK AVE NW,397292.44,136903.07,CHURCHES,1,,
-77.035460249318504,38.905340294180725,99,METRO POLITAN AFRICAN MTHDST,METROPOLITANAMEC.ORG,CHRISTIAN,1518 M ST NW,396924.47,137497.85,CHURCHES,1,,
-77.031606219194984,38.906944256299482,100,LUTHER PLACE MEMORIAL CHURCH,,CHRISTIAN,1226 VERMONT AVE NW,397258.82,137675.78,CHURCHES,1,,
-77.030472232353645,38.89866515751887,101,CHURCH OF THE EPIPHANY,EPIPHANYDC.ORG,CHRISTIAN,1317 G ST NW,397356.87,136756.7,CHURCHES,1,,
-77.033938518202717,38.902895068067927,102,GRACE COVENANT CHURCH,GRACECOVDC.ORG,CHRISTIAN,1000 VERMONT AVE NW # 1100,397056.36,137226.36,CHURCHES,1,,
-77.034289124652901,38.90917144425805,103,GRACE REFORMED CHURCH,GRACEREFORMEDCHURCHDC.ORG,CHRISTIAN,1405 15TH ST NW,397026.21,137923.1,CHURCHES,1,,
-77.033375297294938,38.899840856239557,104,KOREA TRUTH COMMISSION,<Null>,CHRISTIAN,733 15TH ST NW,397105.09,136887.3,CHURCHES,1,,
-77.000335605437172,38.884471934753662,105,EBENEZER UNITED METHODIST CHR,EBENEZERUMCCAPITOLHILL.SHUTTERFLY.COM,CHRISTIAN,400 D ST SE,399971.08,135180.7,CHURCHES,1,,
-77.000852913296782,38.887397764734089,106,CAPITOL HILL PRESBYTERIAN CHR,CAPITOLHILLPRESCHURCH.ORG,CHRISTIAN,201 4TH ST SE,399926.2,135505.49,CHURCHES,1,,
-76.991771515555911,38.901847262289039,107,HOLY NAME OF JESUS PARISH,HOLYNAMEPARISHDC.ORG,CHRISTIAN,920 11TH ST NE,400713.95,137109.53,CHURCHES,1,,
-76.997506030530488,38.881713720672053,108,CHRIST CHURCH CAPITOL HILL,WASHINGTONPARISH.ORG,CHRISTIAN,620 G ST SE,400216.59,134874.52,CHURCHES,1,,
-76.994386937246304,38.887797244834168,109,CHRIST OUR SHEPHERD CHURCH,CHRISTOURSHEPHERD.ORG,CHRISTIAN,801 N CAROLINA AVE SE,400487.18,135549.85,CHURCHES,1,,
-77.000948204807131,38.885158550440885,110,WASHINGTON CITY CHURCH OF THE BRETHREN,WASHINGTONCITYCOB.ORG,CHRISTIAN,337 N CAROLINA AVE SE,399917.93,135256.92,CHURCHES,1,,
-77.002713016473052,38.893761613003186,111,MADONNA HOUSE,MADONNAHOUSE.ORG,CHRISTIAN,220 C ST NE,399764.84,136211.93,CHURCHES,1,,
-77.005619298137859,38.891435457519592,112,UNITED CHURCH OF CHRIST,UCC.ORG,,100 MARYLAND AVE NE # 330,399512.7,135953.72,CHURCHES,1,,
-76.999850141831473,38.885292598964448,113,CAPITOL HILL UNITED MTHDST CHR,CHUMC.NET,CHRISTIAN,421 SEWARD SQ SE,400013.2,135271.8,CHURCHES,1,,
