OBJECTID,CJRTRACTBLOCK,CNT_CJRTRACTBLOCK,SHAPE_Length,SHAPE_Area
3434,2600 2020,1,662.312621,25125.580255
3435,2600 3014,2,1246.562836,22847.802269
3436,1302 1012,1,1358.721542,58898.086506
3437,2501 3008,1,567.682467,19574.026447
3438,2600 2016,1,650.068544,24414.888156
3439,2600 2017,1,645.426996,24776.753379
3440,2600 2018,3,1269.188227,64908.138188
3441,3800 1011,1,922.327096,34244.336244
3442,3800 1008,1,786.899257,28700.776871
3443,3800 1004,1,549.148312,17906.237914
3444,3700 1006,1,532.878115,16668.427149
3445,3900 1005,1,799.020863,31859.064608
3446,2702 3011,1,638.752791,19848.738883
3447,2702 2001,1,613.819694,20683.63548
3448,2802 2003,1,825.399764,40651.888287
3449,2702 3009,1,652.419861,21254.02468
3450,2702 3007,1,86.040465,298.19356
3451,501 1000,30,3916.051539,491823.484115
3452,2701 2005,1,630.928602,23646.895545
3453,2701 2001,1,283.598579,4782.092787
3454,2701 1004,1,465.540459,12785.669071
3455,2701 1002,1,622.818714,21429.915848
3456,2502 3002,1,902.044048,34652.251642
3457,2600 3000,1,583.074892,20385.552718
4085,7809 3001,1,1540.453656,59453.326262
4103,7806 1010,1,434.289242,11482.89094
4104,7806 5004,1,426.419619,10959.844542
4105,7806 5005,1,614.73501,22865.357003
4106,7806 1009,1,430.821218,11244.913038
4108,9601 1032,1,463.775638,12923.38421
4109,9601 1023,3,1726.487427,65098.841901
4110,9601 1031,1,445.269044,10296.125255
4111,7806 1003,1,583.239371,17856.915538
4127,7804 3006,1,498.552717,13059.407836
4128,7808 4004,1,548.374547,16931.789119
4129,7808 4005,1,372.180388,8943.061551
4130,7803 4005,1,755.719808,23059.66841
4131,9604 5006,1,420.13265,10211.746869
4132,9604 5005,1,405.395893,9922.051847
4148,7808 4007,1,593.390389,19901.869777
4149,7803 3000,1,913.196667,28679.412218
4150,7808 3003,2,977.189564,19208.9245
4151,7804 3007,1,508.564577,13857.068337
4152,9603 2001,1,569.161972,19554.055688
4153,7803 4004,1,751.517385,22645.911712
4154,7808 4003,1,551.532338,17013.329005
4156,7803 2006,1,670.785116,20288.396562
4161,7803 2007,1,413.478996,10127.221992
4162,9604 5004,1,626.134335,17945.101775
4163,9604 5000,4,861.590096,20992.39477
4164,7808 3002,1,1186.495607,30191.632034
4165,7808 3001,1,483.396847,14583.162027
4166,7808 4002,3,975.252381,25751.672568
4167,7808 3000,1,508.647092,16020.206314
4168,7808 2002,1,636.821837,19054.974793
4169,7808 2005,1,527.818805,17493.09184
4170,7808 2004,1,536.350489,17704.945694
4171,7808 2003,1,536.716926,17611.859066
4172,7808 4000,1,720.672248,12252.855604
4173,7803 4003,1,760.987854,23988.584478
4174,7807 1000,1,171.455698,1066.475013
4175,7803 2005,1,664.540372,19827.795154
4176,9604 5001,4,1122.397406,45372.717384
4189,7804 1014,1,486.741933,13509.925572
4190,7804 2011,1,1444.165912,105500.721354
4191,7804 2007,1,870.950191,35017.891922
4192,7804 2006,1,509.84003,13959.290594
4193,9602 3012,1,489.224476,7977.848414
4194,9604 5002,1,665.952996,22215.730851
4195,7804 2008,1,615.764209,20610.844529
4196,7808 4001,2,368.855137,6014.437721
4202,9602 3028,2,1020.100558,17224.903228
4203,7803 2004,1,542.402688,18253.432382
4204,7803 4002,1,818.331317,32896.27771
4208,7804 2005,1,548.474823,15518.823631
4210,7807 3009,1,535.910563,17751.616635
4211,7807 1011,1,534.094575,17605.118892
4212,7807 1012,1,534.003852,17703.38098
4213,7803 2003,1,728.178682,24704.68161
4214,7807 1013,1,552.386407,17585.140344
4215,7807 1001,1,493.041671,12739.487096
4221,7803 2002,1,486.597596,13309.997478
4222,7803 4001,1,755.922975,24334.572023
4223,7803 2001,1,414.264643,10275.512912
4225,7804 1013,1,804.856578,26008.906406
4228,9602 3022,1,1437.571979,54524.455233
4231,9601 1000,1,240.825879,1646.493734
4234,9601 1020,3,617.986633,22909.449775
4236,7807 1002,1,618.622618,18224.746772
4242,7804 2001,3,1235.343805,61385.308808
4243,7804 2000,1,612.386097,18437.992272
4244,7803 2000,1,634.356827,21177.522155
